ra,nome,ano_referencia,fase,turma,idade,genero,ano_ingresso,instituicao_ensino,pedra,inde,ian,ida,ieg,iaa,ips,ipp,ipv,defasagem,matematica,portugues,ida_next,ian_next,defasagem_next,delta_ida_next,delta_ian_next,delta_defasagem_next,target_risco,score_risco
RA-1,ALUNO-1,2021,2.0,G,,,,Rede Decisão,Ametista,7.319,5.0,8.8,6.3,7.5,6.9,7.7,8.1,-1.0,,,4.0,5.0,-1.0,-4.800000000000001,0.0,0.0,1,0.876562880351049
RA-1,Aluno-1,2022,7,A,19.0,Menina,2016.0,Escola Pública,Quartzo,5.783,5.0,4.0,4.1,8.3,5.6,,7.278,-1.0,2.7,3.5,,10.0,0.0,,5.0,1.0,1,0.774244382129493
RA-1,Aluno-1,2023,FASE 8,8E,,Feminino,2016.0,Privada *Parcerias com Bolsa 100%,,7.36,10.0,6.5,8.6,8.8,7.5,,,0.0,,,,10.0,0.0,,0.0,0.0,0,0.11244284448416639
RA-10,ALUNO-10,2021,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,4.1,5.0,-1.0,,,,0,0.0008088267227571396
RA-100,ALUNO-100,2021,1.0,M,,,,Escola Pública,Quartzo,3.117,5.0,0.0,0.0,8.5,3.8,6.3,3.8,-2.0,,,7.6,10.0,1.0,7.6,5.0,3.0,1,0.8053565306298245
RA-1000,ALUNO-1000,2021,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,2.0,10.0,,,,,0,0.0008088267227571396
RA-1000,ALUNO-1000,2022,2.0,M,,,2022.0,,Ágata,6.686743535353536,10.0,2.0,8.093434343434343,9.50002,7.5,6.458333333333334,6.611106666666666,-1.0,0.0,4.0,7.0,10.0,0.0,5.0,0.0,,0,0.07603494902344239
RA-1000,Aluno-1000,2023,ALFA,ALFA U - G2/G3,8.0,Feminino,2023.0,Pública,Ametista,7.9162,10.0,7.0,9.4,8.5,3.77,6.25,8.92,0.0,7.0,7.0,7.75,10.0,0.0,0.75,0.0,0.0,0,0.13399473193180347
RA-1001,ALUNO-1001,2020,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,6.9,10.0,0.0,,,,0,0.0007538855265298587
RA-1001,ALUNO-1001,2021,0.0,K,,,,Escola Pública,Topázio,8.931,10.0,6.9,10.0,9.5,7.5,8.4,10.0,0.0,,,8.083333333333334,5.0,,1.1833333333333336,-5.0,,0,0.5496373857954597
RA-1001,ALUNO-1001,2022,0.0,J,,,2021.0,Escola Pública,Ametista,7.382144857142857,5.0,8.083333333333334,8.452380952380953,9.000020000000001,5.625,5.625,7.75,-1.0,7.666666666666667,8.5,7.8,5.0,-1.0,-0.2833333333333341,0.0,,0,0.6091746580933516
RA-1001,Aluno-1001,2023,ALFA,ALFA U - G2/G3,9.0,Feminino,2023.0,Pública,Topázio,8.1162,5.0,7.8,9.1,9.0,7.52,7.5,9.17,-1.0,8.3,7.3,7.75,5.0,-1.0,-0.0499999999999998,0.0,0.0,0,0.3147735128400113
RA-1002,ALUNO-1002,2021,3.0,J,,,,Escola Pública,Ametista,7.693,5.0,7.5,8.3,8.8,7.5,7.7,8.1,-2.0,,,8.277777777777777,5.0,,0.7777777777777768,0.0,,0,0.5659138546004817
RA-1002,ALUNO-1002,2022,4.0,H,,,2020.0,Escola Pública,Ametista,7.562874816059757,5.0,8.277777777777777,7.515756302521009,8.75001,6.875,7.5,7.958335,-1.0,8.0,7.333333333333333,7.0,5.0,-1.0,-1.2777777777777768,0.0,,1,0.8893907601336156
RA-1002,Aluno-1002,2023,ALFA,ALFA U - G2/G3,9.0,Feminino,2023.0,Pública,Ametista,7.9012,5.0,7.0,9.7,9.0,7.52,6.25,8.92,-1.0,7.0,7.0,9.25,5.0,-1.0,2.25,0.0,0.0,0,0.2185424732999429
RA-1003,ALUNO-1003,2022,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,4.0,10.0,0.0,,,,0,0.0016169292812783377
RA-1003,Aluno-1003,2023,ALFA,ALFA V - G0/G1,8.0,Masculino,2023.0,Pública,Ametista,7.6522,10.0,4.0,8.5,9.0,7.52,7.5,8.75,0.0,8.0,0.0,8.25,5.0,-1.0,4.25,-5.0,-1.0,0,0.11041301308359706
RA-1004,ALUNO-1004,2021,0.0,I,,,,Escola Pública,Ametista,7.506,5.0,6.4,10.0,10.0,6.9,7.8,6.3,-2.0,,,8.666666666666668,5.0,,2.2666666666666675,0.0,,0,0.5143466676771602
RA-1004,ALUNO-1004,2022,0.0,L,,,2020.0,Escola Pública,Topázio,8.184503595776773,5.0,8.666666666666668,9.547511312217194,10.00002,7.5,6.25,8.33333,-1.0,8.833333333333334,8.5,7.9,10.0,0.0,-0.7666666666666675,5.0,,1,0.9628422457919923
RA-1004,Aluno-1004,2023,ALFA,ALFA V - G0/G1,8.0,Feminino,2023.0,Pública,Topázio,8.3137,10.0,7.9,9.6,9.0,7.52,6.875,7.42,0.0,6.5,9.2,7.5,5.0,-1.0,-0.4000000000000003,-5.0,-1.0,0,0.28263498215301225
RA-1005,ALUNO-1005,2021,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,6.5,5.0,,,,,0,0.0008088267227571396
RA-1005,ALUNO-1005,2022,1.0,F,,,2022.0,,Ametista,7.050000666666667,5.0,6.5,9.833333333333334,8.500020000000001,4.375,5.625,7.16666,-1.0,8.0,5.0,8.8,10.0,0.0,2.3000000000000007,5.0,,1,0.8266772816376481
